hue_a	hue_b	value	chroma	nice_name	munsell_name	sortable_name	n_r	n_g	n_b	s_r	s_g	s_b	hexval
7.5	YR	8	3	Pink	7.5YR 8/3	07.5YR8/3	0.8745	0.7647	0.6588	223	195	168	DFC3A8
7.5	YR	8	4	Pink	7.5YR 8/4	07.5YR8/4	0.902	0.7608	0.6196	230	194	158	E6C29E
7.5	YR	8	6	Reddish Yellow	7.5YR 8/6	07.5YR8/6	0.9529	0.7451	0.5373	243	190	137	F3BE89
7.5	YR	9.5	1	White	7.5YR 9.5/1	07.5YR9.5/1	0.902	0.9373	0.898	230	239	229	E6EFE5
7.5	YR	9.5	2	Pale Yellowish Pink	7.5YR 9.5/2	07.5YR9.5/2	1	0.9333	0.8471	255	238	216	FFEED8
7.5	YR	9	1	White	7.5YR 9/1	07.5YR9/1	0.9255	0.8824	0.8431	236	225	215	ECE1D7
7.5	YR	9	2	Pale Yellowish Pink	7.5YR 9/2	07.5YR9/2	0.9529	0.8784	0.8	243	224	204	F3E0CC
10	B	2.5	1	Bluish Black	10B 2.5/1	10B2.5/1	0.2118	0.2392	0.2588	54	61	66	363D42
10	B	3	1	Very Dark Bluish Gray	10B 3/1	10B3/1	0.2549	0.2863	0.3059	65	73	78	41494E
10	B	4	1	Dark Bluish Gray	10B 4/1	10B4/1	0.3529	0.3804	0.4	90	97	102	5A6166
10	B	5	1	Bluish Gray	10B 5/1	10B5/1	0.451	0.4824	0.502	115	123	128	737B80
10	B	6	1	Bluish Gray	10B 6/1	10B6/1	0.5529	0.5804	0.6	141	148	153	8D9499
10	B	7	1	Light Bluish Gray	10B 7/1	10B7/1	0.6549	0.6863	0.702	167	175	179	A7AFB3
10	B	8	1	Light Bluish Gray	10B 8/1	10B8/1	0.7608	0.7882	0.8039	194	201	205	C2C9CD
10	BG	2.5	1	Greenish Black	10BG 2.5/1	10BG2.5/1	0.2039	0.2431	0.2471	52	62	63	343E3F
10	BG	3	1	Very Dark Greenish Gray	10BG 3/1	10BG3/1	0.2471	0.2902	0.2941	63	74	75	3F4A4B
10	BG	4	1	Dark Greenish Gray	10BG 4/1	10BG4/1	0.3412	0.3843	0.3882	87	98	99	576263
10	BG	5	1	Greenish Gray	10BG 5/1	10BG5/1	0.4392	0.4863	0.4902	112	124	125	707C7D
10	BG	6	1	Greenish Gray	10BG 6/1	10BG6/1	0.5373	0.5882	0.5922	137	150	151	899697
10	BG	7	1	Light Greenish Gray	10BG 7/1	10BG7/1	0.6392	0.6902	0.6902	163	176	176	A3B0B0
10	BG	8	1	Light Greenish Gray	10BG 8/1	10BG8/1	0.7412	0.7961	0.7961	189	203	203	BDCBCB
10	G	2.5	1	Greenish Black	10G 2.5/1	10G2.5/1	0.2078	0.2431	0.2314	53	62	59	353E3B
10	G	3	1	Very Dark Greenish Gray	10G 3/1	10G3/1	0.251	0.2902	0.2784	64	74	71	404A47
10	G	4	1	Dark Greenish Gray	10G 4/1	10G4/1	0.3412	0.3882	0.3725	87	99	95	57635F
10	G	5	1	Greenish Gray	10G 5/1	10G5/1	0.4392	0.4863	0.4706	112	124	120	707C78
10	G	6	1	Greenish Gray	10G 6/1	10G6/1	0.5373	0.5882	0.5725	137	150	146	899692
10	G	7	1	Light Greenish Gray	10G 7/1	10G7/1	0.6353	0.6941	0.6745	162	177	172	A2B1AC
